Siruta,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
70726,Apele Vii,580.2686927158708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62538,Ostrov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144456,Chirpar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169039,Cernisoara,0.0,0.0,27.235565193819465,0.0,0.0,0.0,0.0,0.0,0.0
54350,Tarnova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78926,Berlesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136269,Vadu Sapat,82.9154113557358,0.0,0.0,0.0,0.0,0.0,0.0,2411.924681344148,0.0
13392,Oras Stefanesti,10531.253314083213,77.37892111825698,123.35444284026775,0.0,1.3375771098569367,1115.2150544690903,88.7930174563591,28.35004593778711,62.009253182832396
136278,Batrani,0.0,0.0,79.26029342167534,5.648367250354945,0.0,0.0,0.0,20.518220539517273,0.0
152662,Crangu,1.1117969821673526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177236,Paunesti,28.78999409681228,0.0,18.679899645808735,0.0,0.0,0.0,0.0,431.159386068477,0.0
119894,Oras Ungheni,0.6475975577382532,1409.9025749933635,1070.9086806477303,0.0,0.0,18.12423679320414,0.0,3737.1233076718872,0.0
103513,Gruiu,0.0919674039580908,0.0,1462.7179860302679,0.0,0.0,2300.0218277066356,854.3556461001164,0.0,0.0
70744,Argetoaia,5.28524661719773,64.75709297250108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5210,Lopadea Noua,1956.7319587628865,0.0,78.57658321060383,0.0,0.0,0.0,0.0,0.0,0.0
21597,Brusturoasa,0.0,0.0,184.67378917378917,0.0,0.0,0.0,0.0,0.0,0.0
87139,Oras Uricani,0.0,0.0,287.4943660542077,0.0,0.0,0.0,0.0,0.0,0.0
46180,Chiojdu,0.0,0.0,755.3065545243619,0.0,0.0,0.0,0.0,0.0,0.0
128105,Oras Piatra-Olt,1.743504026743656,0.0,1.3918857316517246,0.0,0.0,0.0,0.0,0.0,0.0
177263,Poiana Cristei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160877,Mihail Kogalniceanu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.504107088530575
54387,Toplet,3540.2128637059723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.88476263399696
29813,Lazareni,81.09192894982861,149.11218448114678,15.581177937052042,0.0,0.0,0.0,0.0,0.0,0.0
95355,Oras Harlau,7.512269691849706,205.42441065250623,0.0,0.0,0.0,0.0,0.0,70.2379113363907,330.89371630863303
144508,Carta,0.0,0.0,3021.636206896552,0.0,0.0,0.0,0.0,1826.3793103448277,0.0
87175,Municipiul Vulcan,85.7219190384084,100.01930781983974,81.17532467532467,0.0,0.0,0.0,0.0,5.223473335175463,32.170903564520586
